epoch,loss,lr,output-0_loss,output-0_mape,output-10_accuracy,output-10_loss,output-11_accuracy,output-11_loss,output-12_accuracy,output-12_loss,output-13_accuracy,output-13_loss,output-14_accuracy,output-14_loss,output-1_accuracy,output-1_loss,output-2_accuracy,output-2_loss,output-3_accuracy,output-3_loss,output-4_accuracy,output-4_loss,output-5_accuracy,output-5_loss,output-6_accuracy,output-6_loss,output-7_accuracy,output-7_loss,output-8_accuracy,output-8_loss,output-9_accuracy,output-9_loss,val_loss,val_output-0_loss,val_output-0_mape,val_output-10_accuracy,val_output-10_loss,val_output-11_accuracy,val_output-11_loss,val_output-12_accuracy,val_output-12_loss,val_output-13_accuracy,val_output-13_loss,val_output-14_accuracy,val_output-14_loss,val_output-1_accuracy,val_output-1_loss,val_output-2_accuracy,val_output-2_loss,val_output-3_accuracy,val_output-3_loss,val_output-4_accuracy,val_output-4_loss,val_output-5_accuracy,val_output-5_loss,val_output-6_accuracy,val_output-6_loss,val_output-7_accuracy,val_output-7_loss,val_output-8_accuracy,val_output-8_loss,val_output-9_accuracy,val_output-9_loss
0,3173349.0,10.0,361311.125,347.7170715332031,0.7247326970100403,4921176.0,0.48132407665252686,5905174.0,0.47332480549812317,6254836.5,0.4005288779735565,2025042.0,0.27796709537506104,221769.734375,0.47563716769218445,6463600.0,0.40971240401268005,2462779.75,0.7220874428749084,4975848.5,0.49043920636177063,5792153.0,0.46962958574295044,6347059.0,0.407591313123703,2454603.5,0.29633334279060364,196734.0,0.4822079837322235,6316374.5,0.40551987290382385,1903606.625,2886628.75,413608.46875,1.0,0.3950142562389374,5991513.0,0.3561350703239441,3918694.0,0.39033767580986023,3646443.5,0.5302790403366089,4983425.5,0.11299143731594086,506852.96875,0.3953709602355957,3172195.25,0.5452600121498108,2417439.25,0.395053893327713,5714740.0,0.4039711356163025,4774219.0,0.4554137587547302,3912340.25,0.5240567326545715,4647321.0,0.45533448457717896,134666.265625,0.38962429761886597,5125143.5,0.5720513463020325,515396.5
1,6569613.5,10.0,413926.28125,42.12618637084961,0.6421533823013306,12178903.0,0.47678643465042114,12257953.0,0.47156426310539246,12396086.0,0.3982629179954529,5661804.0,0.27126115560531616,522902.84375,0.4694138765335083,12743891.0,0.4070948362350464,5491432.0,0.6417317986488342,12083723.0,0.47862669825553894,12199482.0,0.471963107585907,12388737.0,0.40984997153282166,6267176.5,0.3105241358280182,521371.96875,0.4678853452205658,12857196.0,0.4013192057609558,5543096.5,1735665.5,413608.46875,1.0,0.9504597187042236,1364307.0,0.7426680326461792,1260972.25,0.37634748220443726,2513456.75,0.5352330207824707,3585937.25,0.37924063205718994,40907.00390625,0.7345434427261353,2325082.25,0.5274254679679871,3231909.5,0.9503012299537659,1363403.25,0.36576569080352783,2178938.75,0.40393152832984924,1399721.625,0.5473208427429199,2370674.75,0.05104628950357437,59582.5546875,0.7235257029533386,1822901.5,0.17172637581825256,2923349.0
2,4791805.5,10.0,413704.84375,82.16590881347656,0.8740099668502808,6521695.0,0.5977944135665894,7357667.0,0.5853495001792908,7439119.0,0.4252909719944,6856108.0,0.2969397306442261,499623.4375,0.5938721299171448,8334735.5,0.43798089027404785,7876441.5,0.875486433506012,6473726.5,0.5960941314697266,7266980.0,0.5772631168365479,7580038.5,0.4412691295146942,7203485.5,0.3375212550163269,492214.6875,0.6021920442581177,7590571.0,0.42736485600471497,6069593.5,5074002.0,413608.46875,1.0,0.37916138768196106,5715012.0,0.7392200231552124,4262552.5,0.48097655177116394,11121730.0,0.15472416579723358,10164167.0,0.37761572003364563,1119648.0,0.7465123534202576,6296874.5,0.14319118857383728,9128689.0,0.38042962551116943,8761603.0,0.7451252341270447,3867606.5,0.4130469262599945,14316412.0,0.5240567326545715,6356883.5,0.37761572003364563,531606.8125,0.7462745904922485,4095859.5,0.5328154563903809,7469226.0
3,3921328.5,5.0,413593.0625,64.55895233154297,0.9034456014633179,6441637.0,0.6228364706039429,6599734.5,0.6112144589424133,6358763.5,0.4317437708377838,3837654.0,0.29742562770843506,262554.875,0.6239548325538635,6485720.0,0.4305041432380676,5123725.5,0.9036873579025269,6474455.0,0.6225491762161255,6299785.5,0.6093252897262573,6453783.5,0.4332348704338074,4221580.5,0.33615386486053467,255659.921875,0.6139419078826904,7329063.5,0.4266664981842041,4010549.0,2472734.25,413608.46875,1.0,0.9642517566680908,1265052.75,0.5189442038536072,2854929.0,0.7456404566764832,1894643.375,0.5382847189903259,4560425.0,0.37773463129997253,74818.640625,0.7453630566596985,1997288.625,0.14319118857383728,9495543.0,0.9634590744972229,1384209.5,0.7451252341270447,2980975.75,0.4668278396129608,2712054.5,0.5240567326545715,3289676.25,0.37761572003364563,347400.6875,0.7449270486831665,2155616.25,0.5777980089187622,6169878.5
4,4598633.5,5.0,413510.0625,97.6854248046875,0.8739635944366455,8200635.5,0.6119542717933655,7626757.0,0.5884774327278137,7868236.0,0.42216792702674866,4297193.5,0.2930654287338257,292176.0,0.6148486137390137,7863514.0,0.4241107702255249,5310059.0,0.8717684149742126,8223217.0,0.6061843633651733,7902531.0,0.5913969874382019,8039578.0,0.43258291482925415,5087654.0,0.3285965621471405,260109.046875,0.6114317774772644,8024818.5,0.4180868864059448,4706057.0,3912159.75,413608.46875,1.0,0.9691661596298218,946930.125,0.524334192276001,9234666.0,0.4167327284812927,4027636.25,0.5302790403366089,6943406.5,0.320902019739151,122483.171875,0.5343611240386963,7180366.0,0.5470038056373596,7208485.5,0.9693642854690552,887166.6875,0.5244134664535522,6614736.0,0.4162967801094055,6277598.5,0.5477172136306763,6429481.5,0.37761572003364563,332238.25,0.41522669792175293,5833073.0,0.5369768738746643,7932754.0
5,3127494.75,2.5,413440.9375,91.91999053955078,0.9003543257713318,5934004.0,0.624688982963562,5001271.5,0.6068224906921387,4898909.5,0.4124382436275482,2575280.5,0.2958783507347107,144769.5625,0.6232662200927734,5134718.0,0.4264540672302246,2972894.75,0.8998773694038391,5893588.5,0.6175581812858582,5306989.5,0.5998129844665527,5237015.0,0.42493608593940735,2834866.25,0.32537341117858887,151033.546875,0.6167312264442444,5798385.0,0.42282477021217346,2397370.0,1529272.125,413608.46875,1.0,0.9705532789230347,1019284.6875,0.7522193789482117,1189544.875,0.39358749985694885,1854033.5,0.5302790403366089,4349542.5,0.05104628950357437,127318.765625,0.5356689691543579,919877.8125,0.4405120611190796,1889750.625,0.9703947305679321,887623.5625,0.7521798014640808,1596930.625,0.5291693210601807,912589.75,0.5653931498527527,2115021.5,0.37761572003364563,442425.15625,0.7518627047538757,1094873.0,0.13078629970550537,3914461.0
6,2771656.0,2.5,413378.46875,101.15867614746094,0.9033902287483215,5472823.5,0.6303001642227173,4295116.0,0.6200341582298279,4060657.25,0.4154090881347656,2447062.5,0.29430097341537476,146751.890625,0.6388862729072571,4365070.0,0.42665591835975647,2836923.25,0.9033446907997131,5427856.5,0.6260718107223511,4286723.5,0.6184103488922119,4203763.5,0.4329003393650055,2744866.25,0.32252630591392517,160163.765625,0.6376564502716064,4517334.0,0.42476922273635864,2200483.25,1736277.75,413608.46875,1.0,0.9704740047454834,982374.6875,0.5264346599578857,992954.75,0.7524175643920898,1579802.0,0.5311112999916077,4129318.0,0.11754914373159409,243337.65625,0.41566264629364014,1188151.375,0.5274254679679871,2983659.0,0.9703154563903809,974975.9375,0.7522590160369873,1006864.25,0.7524175643920898,1043373.375,0.5240567326545715,5947559.5,0.37761572003364563,86234.828125,0.7520608901977539,1004916.8125,0.5328154563903809,4289862.0
7,2463081.75,2.5,413370.625,127.5773696899414,0.9297451972961426,4454238.0,0.6440457701683044,3395624.5,0.6323203444480896,3396276.75,0.4340243935585022,2357924.25,0.29791316390037537,148331.59375,0.6491026878356934,3699889.75,0.43776601552963257,2890525.75,0.9301220178604126,4384640.0,0.6436730027198792,3370379.75,0.6313697099685669,3512834.75,0.43311360478401184,3135760.0,0.3193902373313904,148771.265625,0.6484116911888123,3797789.25,0.43438494205474854,2301235.25,1740508.875,413608.46875,1.0,0.9680168032646179,1654611.0,0.5233830213546753,1745609.5,0.7491677403450012,2275661.5,0.5302790403366089,3939426.0,0.3790821135044098,229356.84375,0.5330532789230347,1888274.875,0.5545735359191895,2629909.0,0.9678186178207397,1650129.375,0.74908846616745,1824433.0,0.7491677403450012,1608195.625,0.14517278969287872,1981913.875,0.11049461364746094,212766.1875,0.7491281032562256,1726300.25,0.5328154563903809,3171421.5
8,2514406.5,2.5,413294.40625,101.64142608642578,0.9412426948547363,4368963.5,0.647458553314209,3590035.5,0.6332514882087708,3549545.0,0.4273599684238434,2727365.25,0.2945524752140045,165119.640625,0.6573697328567505,3588222.25,0.44217586517333984,2904939.5,0.9416537284851074,4344180.0,0.6505498290061951,3520315.75,0.6285111904144287,3539207.75,0.4389103949069977,3222639.0,0.3181571364402771,178606.234375,0.6625691056251526,3706467.5,0.4298432469367981,2616632.0,1934047.375,413608.46875,1.0,0.9703550934791565,1753637.375,0.42636334896087646,1709353.375,0.7477806210517883,2220887.75,0.5747463703155518,4257831.5,0.37761572003364563,150025.90625,0.7514663934707642,2245005.5,0.4436430037021637,3124274.25,0.9702361822128296,1762750.75,0.7515456676483154,1525878.625,0.6987951993942261,1807121.375,0.14517278969287872,3529263.5,0.11049461364746094,694969.0625,0.7512285709381104,1996283.625,0.5775602459907532,3631497.25
9,2627474.5,2.5,413245.84375,115.73341369628906,0.9404531717300415,4651734.0,0.6504359245300293,3561542.5,0.6379079222679138,3740390.5,0.42629942297935486,2911879.5,0.2947022318840027,170595.578125,0.6607459187507629,4200101.5,0.4396754801273346,3184385.0,0.9428021907806396,4619929.5,0.6498083472251892,3550317.25,0.6342965364456177,3666748.0,0.43614304065704346,3265189.25,0.31273314356803894,184149.609375,0.662103533744812,3929661.75,0.43871259689331055,2647911.0,1856638.25,413608.46875,1.0,0.9701966047286987,1694938.125,0.7513871192932129,1202623.5,0.7513871192932129,1481487.125,0.5302790403366089,3214756.75,0.3790821135044098,154464.265625,0.7512285709381104,1795941.5,0.5687618851661682,3095227.75,0.9700380563735962,1659913.375,0.4270767271518707,1981802.0,0.4842660129070282,1600736.625,0.5240567326545715,4617464.5,0.37761572003364563,415180.375,0.7513078451156616,1560756.25,0.13078629970550537,4385304.5
